path,class_name,class_id
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (124).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4473).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3685).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1128).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (743).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4353).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3901).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3128).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (774).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3479).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (543).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (835).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (335).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1094).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (299).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1153).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3423).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4491).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1371).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (201).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (426).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4674).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2044).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1538).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1098).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2091).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4604).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (838).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (672).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (892).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3898).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2032).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4437).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3003).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3501).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (199).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (891).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (174).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1368).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1843).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3744).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2722).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1211).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (905).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1381).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2522).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (451).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2435).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3364).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4827).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (897).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4978).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1498).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (185).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2654).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2835).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2446).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (524).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4151).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2824).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1355).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (46).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1460).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2287).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1266).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3532).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (507).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1278).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (427).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2212).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (930).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2301).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2981).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (290).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (846).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (785).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (426).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (287).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1290).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (307).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (432).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (780).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (717).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (324).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1774).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2929).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (406).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2006).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2471).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4304).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4330).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1570).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (514).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4185).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4584).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (288).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1365).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (394).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1181).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1002).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (804).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (433).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1499).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2031).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1048).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4879).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2545).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2312).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2999).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1303).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4031).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (310).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2987).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2533).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2692).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3848).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (369).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (681).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (437).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1044).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (123).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3689).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2509).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (2979).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4541).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3407).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3792).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4993).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (1215).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (79).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Stone\Stone- (205).jpg,Stone,1
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (235).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (1121).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (317).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (624).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (516).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (4747).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (3441).jpg,Normal,0
D:\Final Sem Project\KidneyStoneAI\datasets\raw\classification\ct-kidney\Normal\Normal- (465).jpg,Normal,0
